mount_type,wood_type,fixture_configuration,ero_vista_pole_size,pole_height_ft,115,120,130,140,150,160
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",12,14.97,13.75,11.72,10.1,8.8,7.74
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",14,14.8,13.59,11.58,9.99,8.7,7.36
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",16,14.46,13.28,10.52,7.9,5.78,4.05
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",18,11.37,9.66,6.81,4.56,2.73,1.24
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",20,7.58,6.1,3.62,1.66,0,0
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",22,4.28,2.98,0.81,0,0,0
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",24,1.48,0,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",26,0,0,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",28,0,0,0,0,0,0
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",8,28.48,26.16,22.29,19.22,16.74,14.71
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",10,28.48,26.16,22.29,19.22,16.74,14.71
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",12,28.48,26.16,22.29,19.22,16.74,14.71
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",14,28.15,25.85,22.03,19,16.55,14.54
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",16,27.51,25.27,21.53,18.56,16.17,13.49
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",18,26.9,24.7,19.58,15.26,11.76,8.91
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",20,21.87,19.02,14.26,10.49,7.45,4.95
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",22,16.16,13.66,9.5,6.2,3.54,1.36
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",24,11.48,9.26,5.56,2.62,0,0
BASE,Alaskan Yellow Cedar Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",26,7.08,5.1,1.82,0,0,0
