mount_type,fixture_configuration,ero_vista_pole_size,pole_height_ft,wind_speed_mph,Alaskan Yellow Cedar Poles,Southern Yellow Pine Poles
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",14,160,7.36,8.64
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",16,115,14.46,16.35
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",16,120,13.28,15.02
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",16,130,10.52,12.79
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",16,140,7.9,11.03
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",16,150,5.78,9.61
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",16,160,4.05,8.43
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",18,115,11.37,15.99
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",18,120,9.66,14.68
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",18,130,6.81,12.51
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",18,140,4.56,9.5
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",18,150,2.73,7.04
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",18,160,1.24,5.03
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",20,115,7.58,14.01
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",20,120,6.1,12
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",20,130,3.62,8.65
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",20,140,1.66,6
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",20,150,0,3.86
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",20,160,0,2.1
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",22,115,4.28,10
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",22,120,2.98,8.22
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",22,130,0.81,5.27
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",22,140,0,2.93
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",22,150,0,1.06
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",22,160,0,0
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",24,115,1.48,6.64
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",24,120,0,5.06
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",24,130,0,2.42
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",24,140,0,0
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",24,150,0,0
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",24,160,0,0
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",26,115,0,3.44
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",26,120,0,2.03
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",26,130,0,0
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",26,140,0,0
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",26,150,0,0
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",26,160,0,0
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",28,115,0,0.69
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",28,120,0,0
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",28,130,0,0
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",28,140,0,0
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",28,150,0,0
BASE,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",28,160,0,0
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",8,115,28.48,32.19
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",8,120,26.16,29.57
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",8,130,22.29,25.19
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",8,140,19.22,21.72
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",8,150,16.74,18.92
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",8,160,14.71,16.63
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",10,115,28.48,32.19
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",10,120,26.16,29.57
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",10,130,22.29,25.19
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",10,140,19.22,21.72
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",10,150,16.74,18.92
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",10,160,14.71,16.63
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",12,115,28.48,32.19
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",12,120,26.16,29.57
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",12,130,22.29,25.19
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",12,140,19.22,21.72
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",12,150,16.74,18.92
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",12,160,14.71,16.63
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",14,115,28.15,31.82
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",14,120,25.85,29.22
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",14,130,22.03,24.9
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",14,140,19,21.47
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",14,150,16.55,18.71
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",14,160,14.54,16.44
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",16,115,27.51,31.1
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",16,120,25.27,28.56
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",16,130,21.53,24.34
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",16,140,18.56,20.98
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",16,150,16.17,18.28
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",16,160,13.49,16.07
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",18,115,26.9,30.41
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",18,120,24.7,27.93
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",18,130,19.58,23.79
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",18,140,15.26,20.52
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",18,150,11.76,17.87
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",18,160,8.91,15.69
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",20,115,21.87,29.74
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",20,120,19.02,27.32
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",20,130,14.26,23.28
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",20,140,10.49,18.42
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",20,150,7.45,14.31
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",20,160,4.95,10.94
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",22,115,16.16,26.92
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",22,120,13.66,23.52
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",22,130,9.5,17.84
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",22,140,6.2,13.34
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",22,150,3.54,9.71
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",22,160,1.36,6.74
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",24,115,11.48,21.27
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",24,120,9.26,18.21
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",24,130,5.56,13.1
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",24,140,2.62,9.09
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",24,150,0,5.84
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",24,160,0,3.18
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",26,115,7.08,15.91
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",26,120,5.1,13.18
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",26,130,1.82,8.64
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",26,140,0,5.04
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",26,150,0,2.13
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",26,160,0,0
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",28,115,3.33,11.44
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",28,120,1.56,8.96
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",28,130,0,4.85
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",28,140,0,1.59
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",28,150,0,0
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",28,160,0,0
BASE,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",30,115,0,7.08
